species,decimallongitude,decimallatitude
Ochotona_princeps,-118.3264167,36.78047222
Ochotona_princeps,-118.3264111,36.78035
Ochotona_princeps,-118.3264028,36.78014722
Ochotona_princeps,-118.3259722,36.78051389
Ochotona_princeps,-118.324192,36.774503
Ochotona_princeps,-118.30806,37.90111
Ochotona_princeps,-118.25834,37.62909
Ochotona_princeps,-118.25311,37.753348
Ochotona_princeps,-118.2441556,44.94563333
Ochotona_princeps,-118.243625,44.94475278
Ochotona_princeps,-118.224175,44.93863889
Ochotona_princeps,-118.22224,37.59175
Ochotona_princeps,-118.21855,36.48666
Ochotona_princeps,-118.2178507,36.5005118
Ochotona_princeps,-118.21783,37.52996
Ochotona_princeps,-118.2122278,44.94482778
Ochotona_princeps,-118.2122083,44.94493889
Ochotona_princeps,-118.2113694,44.94543333
Ochotona_princeps,-118.2108778,44.94800278
Ochotona_princeps,-118.21082,37.51452
Ochotona_princeps,-118.2101222,44.94704444
Ochotona_princeps,-118.2100806,44.94659167
Ochotona_princeps,-118.2099028,44.94717778
Ochotona_princeps,-118.20955,44.94665833
Ochotona_princeps,-118.2092806,44.94741667
Ochotona_princeps,-118.2090417,44.94779167
Ochotona_princeps,-118.20887,37.51061
Ochotona_princeps,-118.20771,36.48861
Ochotona_princeps,-118.20003,37.5026
Ochotona_princeps,-118.184547,37.491318
Ochotona_princeps,-118.182345,37.443228
Ochotona_princeps,-118.18208,37.48106
Ochotona_princeps,-118.181656,37.442677
Ochotona_princeps,-118.168469,37.53385
Ochotona_princeps,-118.16669,37.48965
Ochotona_princeps,-118.15989,37.50673
Ochotona_princeps,-118.133606,36.25278
Ochotona_princeps,-118.099737,37.432159
Ochotona_princeps,-117.3874,45.2269
Ochotona_princeps,-117.3689,44.9822
Ochotona_princeps,-117.3669,45.2269
Ochotona_princeps,-117.3669,45.2558
Ochotona_princeps,-117.3534056,38.87733333
Ochotona_princeps,-117.3498806,38.83701111
Ochotona_princeps,-117.3496639,38.87696944
Ochotona_princeps,-117.3493361,38.87736667
Ochotona_princeps,-117.3463,45.2269
Ochotona_princeps,-117.3257,45.2124
Ochotona_princeps,-117.3006,45.1636
Ochotona_princeps,-117.2854083,45.05581111
Ochotona_princeps,-117.2839972,45.05422778
Ochotona_princeps,-117.2831583,45.05773889
Ochotona_princeps,-117.2772028,45.06099167
Ochotona_princeps,-117.277025,45.06079722
Ochotona_princeps,-117.2155,45.2674
Ochotona_princeps,-117.1927,45.0082
Ochotona_princeps,-117.1917,45.0083
Ochotona_princeps,-117.1308,48.7969
Ochotona_princeps,-117.1014,47.8706
Ochotona_princeps,-117.04861,48.78278
Ochotona_princeps,-116.93167,38.78833
Ochotona_princeps,-116.9262194,38.72542778
Ochotona_princeps,-116.9260917,38.72520833
Ochotona_princeps,-116.9256917,38.72539722
Ochotona_princeps,-116.9254556,38.72619444
Ochotona_princeps,-116.9243,38.72708611
Ochotona_princeps,-116.9239778,38.74003333
Ochotona_princeps,-116.9239333,38.73990833
Ochotona_princeps,-116.8272,48.2772
Ochotona_princeps,-116.5940167,48.63014444
Ochotona_princeps,-116.5933806,48.629775
Ochotona_princeps,-116.5924944,48.62953056
Ochotona_princeps,-116.5915306,48.62948056
Ochotona_princeps,-116.590025,48.63114444
